facility_id,facility_name,address,city_town,State,region,zip_code,county_parish,hospital_type,hospital_ownership,Emergency_Services,hospital_overall_rating,Count_of_MORT_Measures_Worse,Count_of_Safety_Measures_Worse,Count_of_READM_Measures_Worse,Count_of_MORT_Measures_Better,Count_of_Safety_Measures_Better,Count_of_READM_Measures_Better,Composite_Worse_Count,Composite_Better_Count,Facility_ID_1,facility_name_1,patient_survey_star_rating,Number_of_completed_surveys,survey_response_rate_percent
201309,NORTHERN LIGHT MAYO HOSPITAL,897 WEST MAIN STREET,DOVER FOXCROFT,ME,Northeast,4426,PISCATAQUIS,Critical Access Hospitals,Government - Hospital District or Authority,true,2,0,0,0,0,0,0,0,0,201309,NORTHERN LIGHT MAYO HOSPITAL,3,142,21
361306,MERCY ALLEN HOSPITAL,200 WEST LORAIN STREET,OBERLIN,OH,Midwest,44074,LORAIN,Critical Access Hospitals,Voluntary non-profit - Private,true,5,0,0,0,0,0,0,0,0,361306,MERCY ALLEN HOSPITAL,5,143,28
441310,RHEA MEDICAL CENTER,9400 RHEA COUNTY HIGHWAY,DAYTON,TN,South,37321,RHEA,Critical Access Hospitals,Government - Local,true,3,0,0,0,0,0,1,0,1,441310,RHEA MEDICAL CENTER,3,110,16
501312,PROSSER MEMORIAL HOSPITAL,723 MEMORIAL STREET,PROSSER,WA,West,99350,BENTON,Critical Access Hospitals,Government - Hospital District or Authority,true,5,0,0,0,0,0,0,0,0,501312,PROSSER MEMORIAL HOSPITAL,4,243,16
521351,REEDSBURG AREA MEDICAL CENTER,2000 N DEWEY AVE,REEDSBURG,WI,Midwest,53959,SAUK,Critical Access Hospitals,Voluntary non-profit - Private,true,3,0,0,0,0,0,0,0,0,521351,REEDSBURG AREA MEDICAL CENTER,4,241,31
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,South,36109,MONTGOMERY,Acute Care - Veterans Administration,Veterans Health Administration,true,5,0,0,0,0,0,2,0,2,01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,2,136,19
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,South,72703,WASHINGTON,Acute Care - Veterans Administration,Veterans Health Administration,true,5,0,0,0,0,0,2,0,2,04009F,FAYETTEVILLE AR VA MEDICAL CENTER,5,350,33
08002F,WILMINGTON VA MEDICAL CENTER,1601 KIRKWOOD HIGHWAY,WILMINGTON,DE,South,19805,NEW CASTLE,Acute Care - Veterans Administration,Veterans Health Administration,true,4,0,0,0,1,0,0,0,1,08002F,WILMINGTON VA MEDICAL CENTER,3,422,29
110237,NORTHEAST GEORGIA MEDICAL CENTER LUMPKIN,227 MOUNTAIN DRIVE,DAHLONEGA,GA,South,30533,LUMPKIN,Acute Care Hospitals,Voluntary non-profit - Other,true,5,0,0,0,0,0,0,0,0,110237,NORTHEAST GEORGIA MEDICAL CENTER LUMPKIN,5,133,18
111310,ATRIUM HEALTH NAVICENT PEACH,1960 HIGHWAY 247 CONNECTOR,BYRON,GA,South,31008,PEACH,Critical Access Hospitals,Voluntary non-profit - Private,true,3,0,0,0,0,0,0,0,0,111310,ATRIUM HEALTH NAVICENT PEACH,3,210,17
